,andressa,eric,keli
Bacia do Paraná - 4353,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
zona de cisalhamento - 4415,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
transcorrência - 4439,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento - 4489,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia do Paraná - 4597,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia do Paraná - 4654,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cisalhamento - 6,,CONTEXTOgeologicoDeBACIA,
Cinturão Ribeira - 12,,unidadeESTRATIGRAFICA,outro
Cisalhamento - 99,,CONTEXTOgeologicoDeBACIA,
magnético-estrutural - 124,,CONTEXTOgeologicoDeBACIA,
cisalhamento - 155,,CONTEXTOgeologicoDeBACIA,
Cisalhamento - 174,,CONTEXTOgeologicoDeBACIA,
magnética-estrutural - 290,,CONTEXTOgeologicoDeBACIA,
Cisalhamento - 294,,CONTEXTOgeologicoDeBACIA,
Cinturão Ribeira - 315,,unidadeESTRATIGRAFICA,outro
Províncias Mantiqueira - 414,,unidadeESTRATIGRAFICA,
Paraná - 416,,unidadeESTRATIGRAFICA,
Cisalhamento - 432,,CONTEXTOgeologicoDeBACIA,
tectono-estratigráficos - 494,,CONTEXTOgeologicoDeBACIA,
cavalgamento - 500,,CONTEXTOgeologicoDeBACIA,
cisalhamento transpressivas - 506,,CONTEXTOgeologicoDeBACIA,
Cisalhamento - 513,,CONTEXTOgeologicoDeBACIA,
cisalhamento cavalgantes - 542,,CONTEXTOgeologicoDeBACIA,
meso - 554,,eon,era
Apiaí - 576,,unidadeESTRATIGRAFICA,
Curitiba - 578,,unidadeESTRATIGRAFICA,
Luís Alves - 581,,unidadeESTRATIGRAFICA,
Paranaguá - 583,,unidadeESTRATIGRAFICA,
Paraíba-Cubatão-Lancinha - 615,,unidadeESTRATIGRAFICA,
destral - 627,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Apiaí - 674,,unidadeESTRATIGRAFICA,
Curitiba - 679,,unidadeESTRATIGRAFICA,
colisão continental - 705,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
cavalgamentos - 768,,CONTEXTOgeologicoDeBACIA,
Cavalgamento Açungui - 778,,CONTEXTOgeologicoDeBACIA,
Setuva - 813,,CONTEXTOgeologicoDeBACIA,
Betara - 815,,CONTEXTOgeologicoDeBACIA,
Tranqueira - 817,,CONTEXTOgeologicoDeBACIA,
Setuva - 864,,CONTEXTOgeologicoDeBACIA,
Cerne - 866,,CONTEXTOgeologicoDeBACIA,
Betara - 868,,CONTEXTOgeologicoDeBACIA,
Almirante Tamandaré - 873,,CONTEXTOgeologicoDeBACIA,
Vuturuvu - 875,,CONTEXTOgeologicoDeBACIA,
Dobramentos Apiaí - 882,,CONTEXTOgeologicoDeBACIA,
transcorrentes - 902,,CONTEXTOgeologicoDeBACIA,
Lancinha - 913,,CONTEXTOgeologicoDeBACIA,
Morro Agudo - 916,,CONTEXTOgeologicoDeBACIA,
Cerne - 918,,CONTEXTOgeologicoDeBACIA,
Transcorrência Lancinha - 928,,CONTEXTOgeologicoDeBACIA,
Lancinha - 945,,CONTEXTOgeologicoDeBACIA,
tardi-colisional - 956,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
colisão continental - 991,,CONTEXTOgeologicoDeBACIA,
Itapirapuã - 1005,,CONTEXTOgeologicoDeBACIA,
Itaiacoca - 1009,,CONTEXTOgeologicoDeBACIA,
gnáissicos - 1113,,outro,
metassedimentos - 1117,,outro,outro
granitos - 1120,,outro,
metassedimentares - 1137,,outro,
granitos - 1139,,outro,
Terrenos Curitiba - 1150,,unidadeESTRATIGRAFICA,
Apiaí - 1152,,unidadeESTRATIGRAFICA,
gnáissico - 1204,,outro,
terrenos Apiaí - 1207,,unidadeESTRATIGRAFICA,
Curitiba - 1215,,unidadeESTRATIGRAFICA,
Complexo Atuba - 1243,,unidadeESTRATIGRAFICA,
Terreno Apiaí - 1274,,unidadeESTRATIGRAFICA,
gnáissicas - 1279,,outro,
graníticas - 1317,,outro,
granitos - 1323,,outro,
Terreno Curitiba - 1335,,unidadeESTRATIGRAFICA,
Cisalhamento Lancinha - 1344,,CONTEXTOgeologicoDeBACIA,
basaltos - 1456,,outro,
Dom Feliciano - 1622,,unidadeESTRATIGRAFICA,
lineamento - 1656,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Cisalhamento - 2270,,CONTEXTOgeologicoDeBACIA,
diabásio - 2612,,outro,
embasamento - 2907,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
magnético-estrutural - 2974,,CONTEXTOgeologicoDeBACIA,
diabásio - 3085,,outro,
magnético-estrutural - 3201,,CONTEXTOgeologicoDeBACIA,
embasamento - 3210,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
cisalhamento - 3279,,CONTEXTOgeologicoDeBACIA,
magnético -estrutural - 3354,,CONTEXTOgeologicoDeBACIA,
embasamento - 3438,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Cisalhamento - 3475,,CONTEXTOgeologicoDeBACIA,
sigmoidal - 3484,,CONTEXTOgeologicoDeBACIA,
cisalhamento - 3490,,CONTEXTOgeologicoDeBACIA,
magnética-estrutural - 3520,,CONTEXTOgeologicoDeBACIA,outro
cisalhamento - 3525,,CONTEXTOgeologicoDeBACIA,
cisalhamento - 3717,,CONTEXTOgeologicoDeBACIA,
Cráton Rio de la Plata - 3816,,unidadeESTRATIGRAFICA,
colisão obliqua - 3856,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
zona de sutura - 3897,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Apiaí - 3908,,unidadeESTRATIGRAFICA,
Curitiba - 3910,,unidadeESTRATIGRAFICA,
cisalhamento - 3978,,CONTEXTOgeologicoDeBACIA,
magnético-estrutural - 4086,,CONTEXTOgeologicoDeBACIA,
cisalhamento - 4100,,CONTEXTOgeologicoDeBACIA,
sigmoidal - 4143,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas transcorrentes - 4297,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
embasamento - 4363,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
zona de sutura - 4410,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
cisalhamento - 4415,,CONTEXTOgeologicoDeBACIA,
transcorrente destral - 4419,,CONTEXTOgeologicoDeBACIA,
colisão oblíqua - 4425,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
cisalhamento - 4489,,CONTEXTOgeologicoDeBACIA,
magnético estrutural - 4564,,CONTEXTOgeologicoDeBACIA,
embasamento - 4590,,CONTEXTOgeologicoDeBACIA,
sigmoidal - 4608,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
estruturas crustais - 40,,,CONTEXTOgeologicoDeBACIA
arcabouço estrutural - 205,,,CONTEXTOgeologicoDeBACIA
bacias sedimentares - 208,,,baciaSEDIMENTAR
exploração de hidrocarbonetos - 214,,,outro
arcabouço estrutural - 228,,,CONTEXTOgeologicoDeBACIA
modelos geológico-geofísicos - 255,,,outro
mapas aerogeofísicos - 271,,,outro
rochas sedimentares - 325,,,CONTEXTOgeologicoDeBACIA
anomalias magnéticas - 347,,,outro
Províncias Mantiqueira e Paraná - 416,,,CONTEXTOgeologicoDeBACIA
cinturão de dobramentos e empurrões - 452,,,CONTEXTOgeologicoDeBACIA
terrenos tectono-estratigráficos - 494,,,CONTEXTOgeologicoDeBACIA
Interpretação aeromagnética - 509,,,outro
rochas supracrustais - 551,,,CONTEXTOgeologicoDeBACIA
embasamento - 598,,,CONTEXTOgeologicoDeBACIA
cobertura sedimentar contígua - 602,,,CONTEXTOgeologicoDeBACIA
Sistema de Falhamentos - 613,,,CONTEXTOgeologicoDeBACIA
exposição crustal - 660,,,CONTEXTOgeologicoDeBACIA
tectônico - 670,,,CONTEXTOgeologicoDeBACIA
modelo tectônico sistêmico - 733,,,outro
deformação - 754,,,CONTEXTOgeologicoDeBACIA
sistema de baixo ângulo com cavalgamentos - 768,,,CONTEXTOgeologicoDeBACIA
Sistema de Cavalgamento Açungui - 778,,,CONTEXTOgeologicoDeBACIA
foliações - 789,,,CONTEXTOgeologicoDeBACIA
estratos - 797,,,CONTEXTOgeologicoDeBACIA
dobras cerradas - 801,,,CONTEXTOgeologicoDeBACIA
isoclinais - 803,,,CONTEXTOgeologicoDeBACIA
vergência tectônica - 830,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobramentos Apiaí - 882,,,CONTEXTOgeologicoDeBACIA
deformação - 896,,,CONTEXTOgeologicoDeBACIA
Sistema de Transcorrência Lancinha - 928,,,CONTEXTOgeologicoDeBACIA
zona de transcorrência - 950,,,CONTEXTOgeologicoDeBACIA
movimentação lateral direita - 954,,,CONTEXTOgeologicoDeBACIA
tectônica de escape - 963,,,CONTEXTOgeologicoDeBACIA
convergência intercontinental - 966,,,CONTEXTOgeologicoDeBACIA
blocos continentais - 970,,,CONTEXTOgeologicoDeBACIA
zona de colisão continental - 991,,,CONTEXTOgeologicoDeBACIA
subducção - 993,,,CONTEXTOgeologicoDeBACIA
lineamento - 1003,,,CONTEXTOgeologicoDeBACIA
zona de sutura - 1026,,,CONTEXTOgeologicoDeBACIA
sutura - 1033,,,CONTEXTOgeologicoDeBACIA
colisão - 1044,,,CONTEXTOgeologicoDeBACIA
534 ± 16 Ma - 1080,,,idade
embasamento - 1134,,,CONTEXTOgeologicoDeBACIA
sequências metassedimentares - 1137,,,outro
embasamento - 1203,,,CONTEXTOgeologicoDeBACIA
1750 e 1790ma - 1308,,,idade
arcabouço estrutural - 1349,,,CONTEXTOgeologicoDeBACIA
embasamento - 1351,,,CONTEXTOgeologicoDeBACIA
tectônica - 1356,,,CONTEXTOgeologicoDeBACIA
veios de calcita fraturados - 1440,,,outro
planos de falha - 1444,,,CONTEXTOgeologicoDeBACIA
estrias - 1452,,,outro
embasamento - 1545,,,CONTEXTOgeologicoDeBACIA
embasamento - 1652,,,CONTEXTOgeologicoDeBACIA
embasamento - 1673,,,CONTEXTOgeologicoDeBACIA
alinhamento - 1693,,,CONTEXTOgeologicoDeBACIA
embasamento - 1698,,,CONTEXTOgeologicoDeBACIA
diques - 2293,,,outro
diques - 2347,,,outro
diques de diabásio - 2612,,,outro
arcabouço magnético-estrutural - 2974,,,outro
estruturas geológicas - 3000,,,CONTEXTOgeologicoDeBACIA
diques de diabásio - 3085,,,outro
diques - 3176,,,outro
arcabouço magnético-estrutural - 3201,,,outro
zonas de cisalhamento - 3279,,,CONTEXTOgeologicoDeBACIA
lineamentos - 3297,,,CONTEXTOgeologicoDeBACIA
arcabouço magnético -estrutural - 3354,,,outro
zonas de cisalhamento - 3490,,,CONTEXTOgeologicoDeBACIA
seções sísmicas - 3584,,,outro
diques - 3698,,,outro
estruturas geofísicas - 3759,,,outro
orógenos policíclicos - 3763,,,outro
deformação - 3777,,,CONTEXTOgeologicoDeBACIA
desmagnetização - 3794,,,CONTEXTOgeologicoDeBACIA
zona de sutura - 3804,,,CONTEXTOgeologicoDeBACIA
desmagnetização - 3823,,,CONTEXTOgeologicoDeBACIA
cisalhamento tardio - 3835,,,CONTEXTOgeologicoDeBACIA
deformação progressiva - 3849,,,CONTEXTOgeologicoDeBACIA
tectônicos - 3884,,,CONTEXTOgeologicoDeBACIA
tectônicos - 3926,,,CONTEXTOgeologicoDeBACIA
intrusão - 3936,,,CONTEXTOgeologicoDeBACIA
diques - 3940,,,outro
arcabouço magnético-estrutural - 4086,,,outro
convergência - 4137,,,CONTEXTOgeologicoDeBACIA
crostas continental - 4245,,,CONTEXTOgeologicoDeBACIA
tectônico - 4380,,,CONTEXTOgeologicoDeBACIA
movimento transcorrente destral - 4419,,,CONTEXTOgeologicoDeBACIA
sutura - 4446,,,CONTEXTOgeologicoDeBACIA
desmagnetização - 4458,,,CONTEXTOgeologicoDeBACIA
diques - 4523,,,outro
arcabouço-magnético estrutural - 4564,,,outro
arcabouço estrutural - 4630,,,CONTEXTOgeologicoDeBACIA
crosta continental - 4685,,,CONTEXTOgeologicoDeBACIA
