,andressa,eric,keli
sucessões evaporíticas - 3242,sedimentaresQUIMICAS,,
cinturões de antepaís - 3294,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 3401,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia de Irecê - 3434,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Bacia de Irecê - 3466,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão de antepaís - 3489,CONTEXTOgeologicoDeBACIA,,
Cráton do São Francisco - 3522,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA,
Pré-Cambriano - 3526,EON,EON,EON
Ediacarano - 3531,PERIODO,PERIODO,PERIODO
Supergrupo Espinhaço - 3604,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
neoproterozoicas - 3608,era,eon,era
Grupo Una - 3611,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Bacia de Irecê - 3625,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
neoproterozoicas - 3652,era,,era
Cráton do São Francisco - 3660,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
cinturão epidérmico de antepaís - 3728,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 3732,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
Cráton do São Francisco - 3762,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
cinturão - 3816,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Bacia de Irecê - 3840,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 3843,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico de antepaís - 3891,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 3895,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
unidades carbonáticas - 3948,sedimentaresCARBONATICAS,,
Grupo Una - 3951,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
substrato siliciclástico - 3955,sedimentaresSILICICLASTICAS,,
rochas siliciclásticas - 3960,sedimentaresSILICICLASTICAS,,
Supergrupo Espinhaço - 3963,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA,unidadeESTRATIGRAFICA
Bacia de Irecê - 4000,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 4038,CONTEXTOgeologicoDeBACIA,,CONTEXTOgeologicoDeBACIA
Cráton do São Francisco - 4073,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
cinturão epidérmico de antepaís - 4081,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 4085,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
cinturão - 4113,CONTEXTOgeologicoDeBACIA,,
560 - 580 Ma - 4119,idade,,idade
Cráton do São Francisco - 4158,CONTEXTOgeologicoDeBACIA,unidadeESTRATIGRAFICA,
668 e 540 Ma - 4163,idade,,idade
cinturão epidérmico de antepaís - 4177,CONTEXTOgeologicoDeBACIA,,
Bacia de Irecê - 4181,baciaSEDIMENTAR,baciaSEDIMENTAR,baciaSEDIMENTAR
580 e 540 Ma - 4186,idade,,idade
cráton - 4215,CONTEXTOgeologicoDeBACIA,,
sinclinal - 124,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
tectônico N-S - 153,,CONTEXTOgeologicoDeBACIA,
dobras - 159,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas E-W - 162,,CONTEXTOgeologicoDeBACIA,
Sistema de Dobras - 207,,CONTEXTOgeologicoDeBACIA,
Empurrões - 209,,CONTEXTOgeologicoDeBACIA,
sinclinal - 248,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
estruturação E-W - 394,,CONTEXTOgeologicoDeBACIA,
sinclinal - 423,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Ciclo Brasiliano - 544,,CONTEXTOgeologicoDeBACIA,
Aulacógeno Paramirim - 727,,CONTEXTOgeologicoDeBACIA,
Bebedouro - 865,,unidadeESTRATIGRAFICA,
Salitre - 867,,unidadeESTRATIGRAFICA,
influência glacial - 884,,CONTEXTOgeologicoDeBACIA,
carbonática - 937,,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
regressivo-transgressivos - 960,,CONTEXTOgeologicoDeBACIA,
Aulacógeno Paramirim - 1022,,CONTEXTOgeologicoDeBACIA,
Aulacógeno Paramirim - 1039,,CONTEXTOgeologicoDeBACIA,
Sistema de Dobramentos - 1056,,CONTEXTOgeologicoDeBACIA,
Empurrões - 1058,,CONTEXTOgeologicoDeBACIA,
dobramentos regionais - 1089,,CONTEXTOgeologicoDeBACIA,
direção NNW-SSE - 1097,,CONTEXTOgeologicoDeBACIA,
zonas de cisalhamento - 1116,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas de empurrão - 1145,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Aulacógeno Paramirim - 1184,,CONTEXTOgeologicoDeBACIA,
falhas normais - 1196,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
paleo / mesoproterozoicas - 1199,,eon,era
carbonáticas - 1237,,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
Ciclo Brasiliano - 1261,,CONTEXTOgeologicoDeBACIA,
Dobramentos - 1271,,CONTEXTOgeologicoDeBACIA,
Empurrões - 1273,,CONTEXTOgeologicoDeBACIA,
leque imbricado - 1293,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Aulacógeno do Paramirim - 1309,,CONTEXTOgeologicoDeBACIA,
calha sinclinal - 1319,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas - 1354,,CONTEXTOgeologicoDeBACIA,
dobras - 1356,,CONTEXTOgeologicoDeBACIA,
carbonática - 1386,,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
chevron - 1434,,CONTEXTOgeologicoDeBACIA,
charneiras E-W - 1437,,CONTEXTOgeologicoDeBACIA,
falhas de orientação - 1457,,CONTEXTOgeologicoDeBACIA,
dobra - 1473,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Sinclinal - 1501,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
cisalhamento - 1525,,CONTEXTOgeologicoDeBACIA,
carbonáticas - 1554,,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
tension gashes - 1652,,CONTEXTOgeologicoDeBACIA,
carbonáticas - 1983,,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
eixo do sinclinal - 2101,,CONTEXTOgeologicoDeBACIA,
estrutura sinclinal - 2176,,CONTEXTOgeologicoDeBACIA,
Sinclinal - 2180,,CONTEXTOgeologicoDeBACIA,
Dobramentos - 2255,,CONTEXTOgeologicoDeBACIA,
Empurrões - 2257,,CONTEXTOgeologicoDeBACIA,
falhas - 2271,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
dobras - 2273,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
estrutura sinclinal - 2280,,CONTEXTOgeologicoDeBACIA,
falhas direcionais - 2333,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
empurrão - 2350,,CONTEXTOgeologicoDeBACIA,
sinclinal - 2391,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas de empurrão - 2404,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas direcionais - 2416,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas de borda - 2449,,CONTEXTOgeologicoDeBACIA,
falhas de empurrão - 2460,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas de empurrão - 2523,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falha antitética - 2551,,CONTEXTOgeologicoDeBACIA,
falha de empurrão - 2623,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
sinistral - 2646,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
sinclinal - 2807,,CONTEXTOgeologicoDeBACIA,
dobras - 2814,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas - 2816,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas de empurrão - 2834,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
sinclinal - 3165,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
siliciclásticas - 3206,,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
evaporíticas - 3242,,sedimentaresQUIMICAS,
tipo pop-up - 3283,,CONTEXTOgeologicoDeBACIA,
sinclinal - 3319,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Sinclinal - 3331,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
falhas de empurrão - 3352,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
sinclinal - 3453,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Dobras - 3475,,CONTEXTOgeologicoDeBACIA,
Empurrões - 3477,,CONTEXTOgeologicoDeBACIA,
Aulacógeno do Paramirim - 3506,,CONTEXTOgeologicoDeBACIA,
Orógeno Araçuaí - 3537,,outro,
Dobramentos - 3545,,CONTEXTOgeologicoDeBACIA,
Empurrões - 3547,,CONTEXTOgeologicoDeBACIA,
Aulacógeno do Paramirim - 3570,,CONTEXTOgeologicoDeBACIA,
dobras regionais - 3589,,CONTEXTOgeologicoDeBACIA,
sinclinal - 3639,,CONTEXTOgeologicoDeBACIA,
sin-colisional - 3699,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Orógeno Araçuaí - 3702,,outro,
granitogênese - 3715,,outro,
sinclinal - 3743,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Dobras - 3867,,CONTEXTOgeologicoDeBACIA,
Empurrões - 3869,,CONTEXTOgeologicoDeBACIA,
carbonáticas - 3948,,sedimentaresCARBONATICAS,sedimentaresCARBONATICAS
siliciclástico - 3955,,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
siliciclásticas - 3960,,sedimentaresSILICICLASTICAS,sedimentaresSILICICLASTICAS
sinclinal - 4043,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Sinclinal - 4101,,CONTEXTOgeologicoDeBACIA,CONTEXTOgeologicoDeBACIA
Dobras - 4199,,CONTEXTOgeologicoDeBACIA,
Empurrões - 4201,,CONTEXTOgeologicoDeBACIA,
tectônica - 55,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 58,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 107,,,CONTEXTOgeologicoDeBACIA
tectônico - 152,,,CONTEXTOgeologicoDeBACIA
falhas - 161,,,CONTEXTOgeologicoDeBACIA
deformação - 170,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobras e Empurrões - 209,,,CONTEXTOgeologicoDeBACIA
Cinturão - 227,,,CONTEXTOgeologicoDeBACIA
substrato - 254,,,CONTEXTOgeologicoDeBACIA
carbonáticas - 278,,,sedimentaresCARBONATICAS
substrato - 284,,,CONTEXTOgeologicoDeBACIA
Cinturão epidérmico - 297,,,CONTEXTOgeologicoDeBACIA
tectônico - 381,,,CONTEXTOgeologicoDeBACIA
estratigráfico - 383,,,CONTEXTOgeologicoDeBACIA
tectônicos - 388,,,CONTEXTOgeologicoDeBACIA
sedimentos - 396,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 406,,,CONTEXTOgeologicoDeBACIA
tectônicos - 440,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 471,,,CONTEXTOgeologicoDeBACIA
tectônicos - 493,,,CONTEXTOgeologicoDeBACIA
fases deformacionais - 525,,,CONTEXTOgeologicoDeBACIA
deformação - 560,,,CONTEXTOgeologicoDeBACIA
tectonismo - 585,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 635,,,CONTEXTOgeologicoDeBACIA
geotectônica - 697,,,CONTEXTOgeologicoDeBACIA
faixas dobradas - 706,,,CONTEXTOgeologicoDeBACIA
sedimentos - 733,,,CONTEXTOgeologicoDeBACIA
embasamento - 746,,,CONTEXTOgeologicoDeBACIA
paleo - mesoproterozoico - 770,,,era
substrato - 775,,,CONTEXTOgeologicoDeBACIA
sequências deposicionais - 816,,,CONTEXTOgeologicoDeBACIA
sedimentadas - 818,,,CONTEXTOgeologicoDeBACIA
 - 838,,,unidadeESTRATIGRAFICA
Formação Bebedouroencerra - 872,,,unidadeESTRATIGRAFICA
glacial - 884,,,CONTEXTOgeologicoDeBACIA
sedimentos glaciogênicos - 915,,,CONTEXTOgeologicoDeBACIA
dolomitizada - 941,,,CONTEXTOgeologicoDeBACIA
Embasamento - 972,,,CONTEXTOgeologicoDeBACIA
sistemas deformacionais - 1045,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobramentos e Empurrões - 1058,,,CONTEXTOgeologicoDeBACIA
cinturão deformacional - 1081,,,CONTEXTOgeologicoDeBACIA
dobramentos - 1088,,,CONTEXTOgeologicoDeBACIA
dobramentos - 1105,,,CONTEXTOgeologicoDeBACIA
mesoestruturas - 1109,,,CONTEXTOgeologicoDeBACIA
deformação - 1124,,,CONTEXTOgeologicoDeBACIA
embasamento - 1163,,,CONTEXTOgeologicoDeBACIA
foliação tectônica - 1173,,,CONTEXTOgeologicoDeBACIA
sistema deformacional - 1204,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 1210,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 1245,,,CONTEXTOgeologicoDeBACIA
tectônico tardio - 1257,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobramentos e Empurrões - 1273,,,CONTEXTOgeologicoDeBACIA
falhas e dobras - 1356,,,CONTEXTOgeologicoDeBACIA
zona axial - 1412,,,CONTEXTOgeologicoDeBACIA
cinturão - 1429,,,CONTEXTOgeologicoDeBACIA
dobras em chevron - 1434,,,CONTEXTOgeologicoDeBACIA
charneiras - 1436,,,CONTEXTOgeologicoDeBACIA
falhas - 1455,,,CONTEXTOgeologicoDeBACIA
zonas de cisalhamento - 1525,,,CONTEXTOgeologicoDeBACIA
Arcabouço estrutural - 1615,,,CONTEXTOgeologicoDeBACIA
fraturas - 1644,,,unidadeESTRATIGRAFICA
dobras - 1686,,,CONTEXTOgeologicoDeBACIA
tectônico - 1744,,,CONTEXTOgeologicoDeBACIA
falhas - 1763,,,CONTEXTOgeologicoDeBACIA
cinturões compressivos - 1787,,,CONTEXTOgeologicoDeBACIA
friccional - 1793,,,CONTEXTOgeologicoDeBACIA
descolamento basal - 1797,,,CONTEXTOgeologicoDeBACIA
dobras - 1815,,,CONTEXTOgeologicoDeBACIA
quartzo - 1903,,,outro
granulometria - 1913,,,CONTEXTOgeologicoDeBACIA
camada - 1934,,,CONTEXTOgeologicoDeBACIA
comportamento newtoniano e viscosidade - 1956,,,outro
camada - 1970,,,CONTEXTOgeologicoDeBACIA
areia - 1972,,,CONTEXTOgeologicoDeBACIA
sinclinal - 2101,,,CONTEXTOgeologicoDeBACIA
tectônico - 2108,,,CONTEXTOgeologicoDeBACIA
zona axial - 2113,,,CONTEXTOgeologicoDeBACIA
deformação - 2116,,,CONTEXTOgeologicoDeBACIA
deformação - 2146,,,CONTEXTOgeologicoDeBACIA
camada - 2157,,,CONTEXTOgeologicoDeBACIA
areia - 2159,,,CONTEXTOgeologicoDeBACIA
sinclinal - 2176,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobramentos e Empurrões - 2257,,,CONTEXTOgeologicoDeBACIA
cinturão - 2269,,,CONTEXTOgeologicoDeBACIA
sinclinal - 2280,,,CONTEXTOgeologicoDeBACIA
pacote sedimentar - 2290,,,CONTEXTOgeologicoDeBACIA
camada - 2295,,,CONTEXTOgeologicoDeBACIA
falhas de empurrão - 2350,,,CONTEXTOgeologicoDeBACIA
deformação - 2377,,,CONTEXTOgeologicoDeBACIA
falhas - 2447,,,CONTEXTOgeologicoDeBACIA
sinclinal - 2454,,,CONTEXTOgeologicoDeBACIA
falhas - 2476,,,CONTEXTOgeologicoDeBACIA
depressões - 2529,,,CONTEXTOgeologicoDeBACIA
zona axial - 2543,,,CONTEXTOgeologicoDeBACIA
sinclinal - 2545,,,CONTEXTOgeologicoDeBACIA
falha - 2550,,,CONTEXTOgeologicoDeBACIA
retroempurrão - 2558,,,CONTEXTOgeologicoDeBACIA
empurrão - 2565,,,CONTEXTOgeologicoDeBACIA
direcional destral - 2627,,,CONTEXTOgeologicoDeBACIA
fraturas axiais - 2674,,,CONTEXTOgeologicoDeBACIA
